시도명,시군구명,시군구코드,기준년도,전국침엽수면적,전국활엽수면적,전국혼효림면적,전국침엽수온실가스흡수량,전국활엽수온실가스흡수량,전국혼효림온실가스흡수량,합계자연녹지온실가스흡수량,전국공원녹지면적,전국완충녹지면적,전국경관녹지면적,전국연결녹지면적,전국공원녹지온실가스흡수량,전국완충녹지온실가스흡수량,전국경관녹지온실가스흡수량,전국연결녹지온실가스흡수량,전국합계인공녹지온실가스흡수량,전국합계온실가스흡수량
부산광역시,동래구,26260,2015,305,14,131,2248.36,157.8733333,1349.35,3755.59,488.25,51505,23081,0,3906,41.204,18.4648,0,3965.67,7721.26
부산광역시,남구,26290,2015,494,136,215,3641.6,1533.63,2214.59,7389.82,247.26,66287,55578,7906,1978.08,53.0296,44.4624,6.3248,2081.9,9471.72
부산광역시,북구,26320,2015,930,398,948,6855.65,4488.11,9764.8,21108.56,81.47,278607,85636,0,651.76,222.8856,68.5088,0,943.1544,22051.71
부산광역시,해운대구,26350,2015,1993,110,757,14691.73,1240.43,7797.42,23729.58,235.45,483406,149216,0,1883.6,386.7248,119.3728,0,2389.7,26119.28
부산광역시,사하구,26380,2015,549,293,428,4047.05,3304.06,4408.58,11759.69,109.78,589022,50416,0,878.24,471.2176,40.3328,0,1389.79,13149.48
부산광역시,금정구,26410,2015,1986,583,1326,14640.13,6574.3,13658.35,34872.78,132.15,370310,20870,9334,1057.2,296.248,16.696,7.4672,1377.61,36250.39
부산광역시,강서구,26440,2015,1858,860,1452,13696.56,9697.93,14956.21,38350.7,1474.14,2349028,1332907,878315,11793.12,1879.22,1066.33,702.652,15441.32,53792.02
부산광역시,연제구,26470,2015,119,89,84,877.2283333,1003.62,865.235,2746.09,7.97,1913,2385,0,63.76,1.5304,1.908,0,67.1984,2813.29
부산광역시,수영구,26500,2015,111,41,88,818.255,462.3433333,906.4366667,2187.04,15.93,28695,20792,0,127.44,22.956,16.6336,0,167.0296,2354.06
부산광역시,사상구,26530,2015,530,258,409,3906.98,2909.38,4212.87,11029.23,72.64,42210,13373,0,581.12,33.768,10.6984,0,625.5864,11654.82
부산광역시,기장군,26710,2015,6151,3474,4219,45343.12,39175.14,43457.46,127975.72,1926.35,1583409,418754,0,15410.8,1266.73,335.0032,0,17012.53,144988.25
대구광역시,중구,27110,2015,0,0,0,0,0,0,0,25,0,0,0,200,0,0,0,200,200
대구광역시,동구,27140,2015,5229,1897,4197,38546.45,21391.84,43230.85,103169.13,231,712353,470331,0,1848,569.8824,376.2648,0,2794.15,105963.28
대구광역시,서구,27170,2015,32,110,57,235.8933333,1240.43,587.12375,2063.45,58,0,0,0,464,0,0,0,464,2527.45
대구광역시,남구,27200,2015,295,146,236,2174.64,1646.39,2430.9,6251.93,369,0,0,0,2952,0,0,0,2952,9203.93
대구광역시,북구,27230,2015,2482,841,1265,18296.48,9483.68,13030.03,40810.18,171,842079,238934,12512,1368,673.6632,191.1472,10.0096,2242.82,43053
대구광역시,수성구,27260,2015,1306,1104,1341,9627.4,12449.44,13812.86,35889.7,587,223243,28216,0,4696,178.5944,22.5728,0,4897.17,40786.86
대구광역시,달서구,27290,2015,881,561,668,6494.44,6326.21,6880.68,19701.33,416,794239,103980,0,3328,635.3912,83.184,0,4046.58,23747.9
대구광역시,달성군,27710,2015,11375,5784,8538,83852.71,65224.24,87944.96,237021.91,621,4105662,107533,116738,4968,3284.53,86.0264,93.3904,8431.95,245453.85
인천광역시,미추홀구,28177,2015,48,144,30,353.84,1623.84,309.0125,2286.69,57.1,504927,18406,31806,456.8,403.9416,14.7248,25.4448,900.9112,3187.6
인천광역시,중구,28110,2015,1085,733,872,7998.26,8265.8,8981.96,25246.02,8.6,732324,985,0,68.8,585.8592,0.788,0,655.4472,25901.47
인천광역시,동구,28140,2015,4,1,1,29.48666667,11.27666667,10.30041667,51.06375,6.5,0,0,0,52,0,0,0,52,103.06375
인천광역시,연수구,28185,2015,84,171,77,619.22,1928.31,793.1320833,3340.66,81,307288,20504,3710,648,245.8304,16.4032,2.968,913.2016,4253.86
인천광역시,남동구,28200,2015,346,558,387,2550.6,6292.38,3986.26,12829.24,158.8,423423,292994,6945,1270.4,338.7384,234.3952,5.556,1849.09,14678.33
인천광역시,부평구,28237,2015,171,350,259,1260.56,3946.83,2667.81,7875.2,242,153874,38575,1300,1936,123.0992,30.86,1.04,2091,9966.2
인천광역시,계양구,28245,2015,197,547,310,1452.22,6168.34,3193.13,10813.68,84.7,114279,20707,0,677.6,91.4232,16.5656,0,785.5888,11599.27
인천광역시,서구,28260,2015,250,1873,657,1842.92,21121.2,6767.37,29731.49,685.5,1166220,166787,62174,5484,932.976,133.4296,49.7392,6600.14,36331.63
인천광역시,강화군,28710,2015,3480,7805,4344,25653.4,88014.38,44745.01,158412.79,3.2,21125,314705,0,25.6,16.9,251.764,0,294.264,158707.06
인천광역시,옹진군,28720,2015,5087,2781,3286,37499.67,31360.41,33847.17,102707.25,0,0,0,0,0,0,0,0,0,102707.25
광주광역시,동구,29110,2015,1025,1300,1042,7555.96,14659.67,10733.03,32948.66,33.8,23595,28883,12524,270.4,18.876,23.1064,10.0192,322.4016,33271.06
광주광역시,서구,29140,2015,374,130,279,2757,1465.97,2873.82,7096.79,450.4,130244,150554,0,3603.2,104.1952,120.4432,0,3827.84,10924.62
광주광역시,남구,29155,2015,778,304,713,5735.16,3428.11,7344.2,16507.46,195.2,100077,40313,0,1561.6,80.0616,32.2504,0,1673.91,18181.37
광주광역시,북구,29170,2015,2191,1279,1872,16151.32,14422.86,19282.38,49856.56,846.5,647574,22246,0,6772,518.0592,17.7968,0,7307.86,57164.41
광주광역시,광산구,29200,2015,4183,1063,2362,30835.68,11987.1,24329.58,67152.36,448.7,1917621,853413,0,3589.6,1534.1,682.7304,0,5806.43,72958.79
대전광역시,동구,30110,2015,2966,2470,3243,21864.36,27853.37,33404.25,83121.98,218.3,381483,69361,0,1746.4,305.1864,55.4888,0,2107.08,85229.06
대전광역시,중구,30140,2015,960,1040,1368,7076.8,11727.73,14090.97,32895.5,1492.6,195080,32657,0,11940.8,156.064,26.1256,0,12122.99,45018.49
대전광역시,서구,30170,2015,1825,1428,1859,13453.29,16103.08,19148.47,48704.85,706.7,413848,21706,0,5653.6,331.0784,17.3648,0,6002.04,54706.89
대전광역시,유성구,30200,2015,3224,3207,3080,23766.25,36164.27,31725.28,91655.81,822.9,454268,478716,0,6583.2,363.4144,382.9728,0,7329.59,98985.39
대전광역시,대덕구,30230,2015,1027,1127,701,7570.7,12708.8,7220.59,27500.1,471.3,838022,57216,0,3770.4,670.4176,45.7728,0,4486.59,31986.69
울산광역시,중구,31110,2015,966,93,336,7121.03,1048.73,3460.94,11630.7,340.7,173719.6,300652.2,0,2725.6,138.97568,240.52176,0,3105.1,14735.8
울산광역시,남구,31140,2015,582,407,418,4290.31,4589.6,4305.57,13185.49,1154.5,857048,476452.8,0,9236,685.6384,381.16224,0,10302.8,23488.29
울산광역시,동구,31170,2015,978,216,630,7209.49,2435.76,6489.26,16134.51,446.4,15619,123309,0,3571.2,12.4952,98.6472,0,3682.34,19816.85
울산광역시,북구,31200,2015,4100,3645,2640,30223.83,41103.45,27193.1,98520.38,411.4,2350177.5,453038,0,3291.2,1880.14,362.4304,0,5533.77,104054.16
울산광역시,울주군,31710,2015,20186,15890,12640,148804.46,179186.23,130197.27,458187.96,1285.1,3631680.9,1376105.9,0,10280.8,2905.34,1100.88,0,14287.03,472474.99
세종특별자치시,전체,36110,2015,6494,10769,7701,47871.6,121438.42,79323.51,248633.54,255.6,391165,42811,0,2044.8,312.932,34.2488,0,2391.98,251025.52
경기도,수원시,41110,2015,797,851,746,5875.22,9596.44,7684.11,23155.77,844.6,1455684,407327,0,6756.8,1164.55,325.8616,0,8247.21,31402.98
경기도,고양시,41280,2015,1435,4466,2606,10578.34,50361.59,26842.89,87782.82,630.4,1426192,712472,0,5043.2,1140.95,569.9776,0,6754.13,94536.95
경기도,용인시,41460,2015,8637,11013,6864,63669.09,124189.93,70702.06,258561.08,688,642608,928828,0,5504,514.0864,743.0624,0,6761.15,265322.22
경기도,성남시,41130,2015,891,4714,1270,6568.16,53158.21,13081.53,72807.89,819.8,1710144,557966,0,6558.4,1368.12,446.3728,0,8372.89,81180.78
경기도,부천시,41190,2015,128,675,134,943.5733333,7611.75,1380.26,9935.58,387,592064,184075,0,3096,473.6512,147.26,0,3716.91,13652.49
경기도,화성시,41590,2015,6041,6260,4363,44532.24,70591.93,44940.72,160064.89,303.4,4496202,20342887,0,2427.2,3596.96,16274.31,0,22298.47,182363.36
경기도,안산시,41270,2015,2332,2467,1360,17190.73,27819.54,14008.57,59018.83,652.9,2127725,357661,0,5223.2,1702.18,286.1288,0,7211.51,66230.34
경기도,남양주시,41360,2015,6454,16842,7564,47576.74,189921.62,77912.35,315410.71,416.5,1162138,528855,0,3332,929.7104,423.084,0,4684.79,320095.5
경기도,안양시,41170,2015,737,1526,732,5432.92,17208.19,7539.91,30181.02,186.7,333045,131840,0,1493.6,266.436,105.472,0,1865.51,32046.52
경기도,평택시,41220,2015,3206,2603,2008,23633.56,29353.16,20683.24,73669.96,233.9,2525376,204046,0,1871.2,2020.3,163.2368,0,4054.74,77724.7
경기도,시흥시,41390,2015,868,2509,756,6398.61,28293.16,7787.12,42478.88,332.9,1777572,519631,0,2663.2,1422.06,415.7048,0,4500.96,46979.84
경기도,파주시,41480,2015,6361,14141,5582,46891.17,159463.34,57496.93,263851.44,486.5,1370680,1007178,0,3892,1096.54,805.7424,0,5794.29,269645.73
경기도,의정부시,41150,2015,879,1673,1340,6479.7,18865.86,13802.56,39148.12,95.6,462296,223832,0,764.8,369.8368,179.0656,0,1313.7,40461.82
경기도,김포시,41570,2015,1732,2700,2049,12767.73,30447,21105.55,64320.28,351.5,1273971,144900,0,2812,1019.18,115.92,0,3947.1,68267.38
경기도,광주시,41610,2015,5319,15629,6333,39209.9,176243.02,65232.54,280685.46,57.7,372684,463598,0,461.6,298.1472,370.8784,0,1130.63,281816.08
경기도,광명시,41210,2015,96,1310,70,707.68,14772.43,721.0291667,16201.14,78.3,238266,66138,0,626.4,190.6128,52.9104,0,869.9232,17071.07
경기도,군포시,41410,2015,306,1087,273,2255.73,12257.74,2812.01,17325.48,132.8,288939,306003,0,1062.4,231.1512,244.8024,0,1538.35,18863.83
경기도,하남시,41450,2015,480,2987,1340,3538.4,33683.4,13802.56,51024.36,110.6,372759,156868,0,884.8,298.2072,125.4944,0,1308.5,52332.86
경기도,오산시,41370,2015,573,281,221,4223.97,3168.74,2276.39,9669.1,94.5,1089399,39613,0,756,871.5192,31.6904,0,1659.21,11328.31
경기도,양주시,41630,2015,3531,6568,4549,26029.36,74065.15,46856.6,146951.1,122.2,936121,169352,0,977.6,748.8968,135.4816,0,1861.98,148813.08
경기도,이천시,41500,2015,4641,6357,4426,34211.91,71685.77,45589.64,151487.32,204.3,810112,348426,0,1634.4,648.0896,278.7408,0,2561.23,154048.55
경기도,구리시,41310,2015,276,707,269,2034.58,7972.6,2770.81,12778,73.6,204985,25009,0,588.8,163.988,20.0072,0,772.7952,13550.79
경기도,안성시,41550,2015,7870,8390,6597,58015.02,94611.23,67951.85,220578.1,46.6,1550805,75510,0,372.8,1240.64,60.408,0,1673.85,222251.95
경기도,포천시,41650,2015,14562,17915,17033,107346.21,202021.48,175447,484814.69,137.6,182315,44249,0,1100.8,145.852,35.3992,0,1282.05,486096.74
경기도,의왕시,41430,2015,405,2236,576,2985.53,25214.63,5933.04,34133.19,36.9,90822,182950,0,295.2,72.6576,146.36,0,514.2176,34647.41
경기도,양평군,41830,2015,19844,23767,16196,146283.35,268012.54,166825.55,581121.44,50.8,97478,33297,0,406.4,77.9824,26.6376,0,511.02,581632.46
경기도,여주시,41670,2015,9149,10323,6915,67443.38,116409.03,71227.38,255079.79,102.6,67949,26331,0,820.8,54.3592,21.0648,0,896.224,255976.01
경기도,동두천시,41250,2015,941,3014,2162,6936.74,33987.87,22269.5,63194.11,52.2,216218,9851,0,417.6,172.9744,7.8808,0,598.4552,63792.57
경기도,가평군,41820,2015,19090,31866,15781,140725.12,359342.26,162550.88,662618.25,46.6,211435,39919,0,372.8,169.148,31.9352,0,573.8832,663192.14
경기도,과천시,41290,2015,350,1285,599,2580.08,14490.52,6169.95,23240.55,697.4,61065,4485,0,5579.2,48.852,3.588,0,5631.64,28872.19
경기도,연천군,41800,2015,6174,24334,5534,45512.67,274406.41,57002.51,376921.58,33.5,460064,7091,0,268,368.0512,5.6728,0,641.724,377563.31
강원도,춘천시,42110,2015,24615,32239,22763,181453.58,363548.46,234468.38,779470.42,628.9,462078,239977,0,5031.2,369.6624,191.9816,0,5592.84,785063.26
강원도,원주시,42130,2015,16238,24674,17046,119701.12,278240.47,175580.9,573522.5,809,1913264,1665810,0,6472,1530.61,1332.65,0,9335.26,582857.76
강원도,강릉시,42150,2015,29878,27112,24489,220250.66,305732.99,252246.9,778230.55,581.3,204911,404361,0,4650.4,163.9288,323.4888,0,5137.82,783368.36
강원도,동해시,42170,2015,5036,4737,3545,37123.71,53417.57,36514.98,127056.26,406.3,882828,73208,0,3250.4,706.2624,58.5664,0,4015.23,131071.49
강원도,태백시,42190,2015,10118,9155,5930,74586.52,103237.88,61081.47,238905.88,451.1,222460,0,0,3608.8,177.968,0,0,3786.77,242692.65
강원도,속초시,42210,2015,1986,2623,2630,14640.13,29578.7,27090.1,71308.92,92,205417,77156,0,736,164.3336,61.7248,0,962.0584,72270.98
강원도,삼척시,42230,2015,45011,29898,24188,331806.09,337149.78,249146.48,918102.35,193.5,155877,150737,0,1548,124.7016,120.5896,0,1793.29,919895.64
강원도,홍천군,42720,2015,54955,50692,40494,405109.94,571636.79,417105.07,1393851.8,124.1,118612,52590,0,992.8,94.8896,42.072,0,1129.76,1394981.56
강원도,횡성군,42730,2015,27172,22899,19219,200302.93,258224.39,197963.71,656491.02,58.3,94458,198319,0,466.4,75.5664,158.6552,0,700.6216,657191.65
강원도,영월군,42750,2015,29963,29796,28624,220877.25,335999.56,294839.13,851715.94,226.8,25707,772,0,1814.4,20.5656,0.6176,0,1835.58,853551.52
강원도,평창군,42760,2015,38612,47389,29906,284634.79,534389.96,308044.26,1127069.01,138.5,225126,16139,0,1108,180.1008,12.9112,0,1301.01,1128370.02
강원도,정선군,42770,2015,34668,36560,26330,255560.94,412274.93,271209.97,939045.84,195.5,155376,0,0,1564,124.3008,0,0,1688.3,940734.14
강원도,철원군,42780,2015,14402,35373,13048,106166.74,398889.53,134399.84,639456.11,133.9,48027,25101,0,1071.2,38.4216,20.0808,0,1129.7,640585.81
강원도,화천군,42790,2015,15558,43077,20506,114688.39,485764.97,211220.34,811673.7,79.7,2720,0,0,637.6,2.176,0,0,639.776,812313.48
강원도,양구군,42800,2015,19307,22948,14956,142324.77,258776.95,154053.03,555154.75,69.4,28205,7189,0,555.2,22.564,5.7512,0,583.5152,555738.26
강원도,인제군,42810,2015,39210,66718,50974,289043.05,752356.65,525053.44,1566453.14,116,48166,0,0,928,38.5328,0,0,966.5328,1567419.67
강원도,고성군,42820,2015,14861,20756,12401,109550.34,234058.49,127735.47,471344.3,65.8,9412,0,0,526.4,7.5296,0,0,533.9296,471878.23
강원도,양양군,42830,2015,15001,19883,15813,110582.37,224213.96,162880.49,497676.82,25,84452,2790,0,200,67.5616,2.232,0,269.7936,497946.62
충청북도,청주시,43110,2015,14419,16412,13356,106292.06,185072.65,137572.37,428937.08,1432,5174921,1410412,0,11456,4139.94,1128.33,0,16724.27,445661.35
충청북도,충주시,43130,2015,16323,25017,15483,120327.72,282108.37,159481.35,561917.44,637.1,1218859,1770569,0,5096.8,975.0872,1416.46,0,7488.34,569405.78
충청북도,제천시,43150,2015,21196,20400,19219,156249.85,230044,197963.71,584257.55,98.2,397143,18390,0,785.6,317.7144,14.712,0,1118.03,585375.58
충청북도,보은군,43720,2015,13126,13185,11271,96760.5,148682.85,116096,361539.34,108.8,130808,84672,0,870.4,104.6464,67.7376,0,1042.78,362582.13
충청북도,옥천군,43730,2015,8749,13913,9544,64494.71,156892.26,98307.18,319694.15,77.4,382931,40278,0,619.2,306.3448,32.2224,0,957.7672,320651.92
충청북도,영동군,43740,2015,17860,22839,20018,131657.97,257547.79,206193.74,595399.5,142.5,567059,0,0,1140,453.6472,0,0,1593.65,596993.14
충청북도,증평군,43745,2015,1329,1518,1067,9796.95,17117.98,10990.54,37905.47,70.8,267445,44207,0,566.4,213.956,35.3656,0,815.7216,38721.19
충청북도,진천군,43750,2015,6489,9191,6683,47834.75,103643.84,68837.68,220316.27,117.4,465878,61929,0,939.2,372.7024,49.5432,0,1361.45,221677.72
충청북도,괴산군,43760,2015,23695,19722,17994,174671.64,222398.42,185345.7,582415.76,77.7,276157,0,0,621.6,220.9256,0,0,842.5256,583258.28
충청북도,음성군,43770,2015,7330,8863,7085,54034.32,99945.1,72978.45,226957.87,197,784847,439441,0,1576,627.8776,351.5528,0,2555.43,229513.3
충청북도,단양군,43800,2015,21504,21700,16236,158520.32,244703.67,167237.57,570461.55,85.2,86316,60639,0,681.6,69.0528,48.5112,0,799.164,571260.72
충청남도,천안시,44130,2015,6991,14063,9534,51535.32,158583.76,98204.17,308323.26,642.1,2729670,378991,0,5136.8,2183.74,303.1928,0,7623.73,315946.99
충청남도,공주시,44150,2015,14536,24814,17632,107154.55,279819.21,181616.95,568590.7,175.7,503015,231846,0,1405.6,402.412,185.4768,0,1993.49,570584.19
충청남도,보령시,44180,2015,15847,7329,8304,116818.8,82646.69,85534.66,285000.15,236,448268,564073,0,1888,358.6144,451.2584,0,2697.87,287698.02
충청남도,아산시,44200,2015,5392,7489,5563,39748.03,84450.96,57301.22,181500.2,629.9,1326948,101434,0,5039.2,1061.56,81.1472,0,6181.91,187682.11
충청남도,서산시,44210,2015,16598,4850,7072,122354.92,54691.83,72844.55,249891.3,950.6,1709202,465633,0,7604.8,1367.36,372.5064,0,9344.67,259235.97
충청남도,논산시,44230,2015,7063,7525,7064,52066.08,84856.92,72762.14,209685.14,127.9,693006,52573,0,1023.2,554.4048,42.0584,0,1619.66,211304.8
충청남도,계룡시,44250,2015,1184,1236,1399,8728.05,13937.96,14410.28,37076.3,108.2,439286,72288,0,865.6,351.4288,57.8304,0,1274.86,38351.16
충청남도,당진시,44270,2015,9950,4435,5666,73348.08,50012.02,58362.16,181722.26,339.5,1976905,910712,0,2716,1581.52,728.5696,0,5026.09,186748.35
충청남도,금산군,44710,2015,12102,13944,12828,89211.91,157241.84,132133.75,378587.5,130.5,142911,26150,0,1044,114.3288,20.92,0,1179.25,379766.74
충청남도,부여군,44760,2015,9063,12352,9085,66809.42,139289.39,93579.29,299678.09,68.6,15160,0,0,548.8,12.128,0,0,560.928,300239.02
충청남도,서천군,44770,2015,7314,2752,3001,53916.37,31033.39,30911.55,115861.31,93.1,289041,164071,0,744.8,231.2328,131.2568,0,1107.29,116968.6
충청남도,청양군,44790,2015,10832,10008,7241,79849.89,112856.88,74585.32,267292.09,9.9,14895,47740,0,79.2,11.916,38.192,0,129.308,267421.4
충청남도,홍성군,44800,2015,10486,3973,4051,77299.3,44802.2,41726.99,163828.48,319.7,395489,387780,0,2557.6,316.3912,310.224,0,3184.22,167012.7
충청남도,예산군,44810,2015,9068,6990,6694,66846.27,78823.9,68950.99,214621.16,133,532763,271544,0,1064,426.2104,217.2352,0,1707.45,216328.61
충청남도,태안군,44825,2015,14875,1125,3195,109653.54,12686.25,32909.83,155249.62,56.1,276680,1662137,0,448.8,221.344,1329.71,0,1999.85,157249.48
전라북도,전주시,45110,2015,1893,2155,2037,13954.57,24301.22,20981.95,59237.73,1654.2,0,0,0,13233.6,0,0,0,13233.6,72471.33
전라북도,군산시,45130,2015,3645,1548,2140,26869.73,17456.28,22042.89,66368.9,746.8,1788053,40041,16243,5974.4,1430.44,32.0328,12.9944,7449.87,73818.77
전라북도,익산시,45140,2015,5398,2787,3207,39792.26,31428.07,33033.44,104253.76,569.5,1121116,53398,5870,4556,896.8928,42.7184,4.696,5500.31,109754.07
전라북도,정읍시,45180,2015,15803,9296,6579,116494.45,104827.89,67766.44,289088.78,421.6,0,0,0,3372.8,0,0,0,3372.8,292461.58
전라북도,남원시,45190,2015,25821,10215,10072,190343.81,115191.15,103745.8,409280.75,140.1,0,0,0,1120.8,0,0,0,1120.8,410401.55
전라북도,김제시,45210,2015,5413,1640,1976,39902.83,18493.73,20353.62,78750.19,139.5,0,0,0,1116,0,0,0,1116,79866.19
전라북도,완주군,45710,2015,13848,33961,8077,102082.84,382966.88,83196.47,568246.18,158.2,0,0,0,1265.6,0,0,0,1265.6,569511.78
전라북도,진안군,45720,2015,16953,28379,13599,124971.87,320020.52,140075.37,585067.75,75.5,0,0,0,604,0,0,0,604,585671.75
